key,cz
Cultiway.ER.Common,五行灵根
Cultiway.ER.Common.Info,元素斑驳的灵根，修行可能比较困难
Cultiway.ER.Fire,火灵根
Cultiway.ER.Water,水灵根
Cultiway.ER.Wood,木灵根
Cultiway.ER.Earth,土灵根
Cultiway.ER.Iron,金灵根
Cultiway.ER.Neg,阴灵根
Cultiway.ER.Pos,阳灵根
Cultiway.ER.Entropy,混沌灵根
Cultiway.ER.IronWood,金木双灵根
Cultiway.ER.IronWood.Info,金木并存的双灵根，兼具锋锐与生发之性
Cultiway.ER.IronWater,金水双灵根
Cultiway.ER.IronWater.Info,金水并存的双灵根，兼具凝练与流变之性
Cultiway.ER.IronFire,金火双灵根
Cultiway.ER.IronFire.Info,金火并存的双灵根，兼具锋锐与炽烈之性
Cultiway.ER.IronEarth,金土双灵根
Cultiway.ER.IronEarth.Info,金土并存的双灵根，兼具坚锐与厚重之性
Cultiway.ER.WoodWater,木水双灵根
Cultiway.ER.WoodWater.Info,木水并存的双灵根，兼具生发与润养之性
Cultiway.ER.WoodFire,木火双灵根
Cultiway.ER.WoodFire.Info,木火并存的双灵根，兼具生长与炽盛之性
Cultiway.ER.WoodEarth,木土双灵根
Cultiway.ER.WoodEarth.Info,木土并存的双灵根，兼具生发与承载之性
Cultiway.ER.WaterFire,水火双灵根
Cultiway.ER.WaterFire.Info,水火并存的双灵根，兼具流变与爆发之性
Cultiway.ER.WaterEarth,水土双灵根
Cultiway.ER.WaterEarth.Info,水土并存的双灵根，兼具润养与厚重之性
Cultiway.ER.FireEarth,火土双灵根
Cultiway.ER.FireEarth.Info,火土并存的双灵根，兼具炽烈与稳固之性
Cultiway.ER.Wind,风灵根
Cultiway.ER.Wind.Info,木水交感并受混沌扰动而生的异灵根，灵气流转迅疾，尤善驾驭风行法门
Cultiway.ER.Ice,冰灵根
Cultiway.ER.Ice.Info,水阴凝结而生的异灵根，灵气寒彻凝练，尤善驾驭冰寒法门
Cultiway.ER.Lightning,雷灵根
Cultiway.ER.Lightning.Info,金阳与混沌相激而生的异灵根，灵气刚烈迅猛，尤善驾驭雷霆法门
Cultiway.ER.Poison,毒灵根
Cultiway.ER.Poison.Info,木水蕴阴而生的异灵根，灵气幽微多变，尤善驾驭毒瘴法门
Cultiway.Iron,金
Cultiway.Wood,木
Cultiway.Water,水
Cultiway.Fire,火
Cultiway.Earth,土
Cultiway.Neg,阴
Cultiway.Pos,阳
Cultiway.Entropy,混沌
Cultiway.ER.Magic.Common,五行元素
Cultiway.ER.Magic.Common.Info,元素斑驳的亲和，修行可能比较困难
Cultiway.ER.Magic.Fire,火元素
Cultiway.ER.Magic.Water,水元素
Cultiway.ER.Magic.Wood,木元素
Cultiway.ER.Magic.Earth,土元素
Cultiway.ER.Magic.Iron,金元素
Cultiway.ER.Magic.Neg,阴元素
Cultiway.ER.Magic.Pos,阳元素
Cultiway.ER.Magic.Entropy,混沌元素
Cultiway.ER.Magic.IronWood,金木双元素
Cultiway.ER.Magic.IronWood.Info,同时亲和金与木两类元素
Cultiway.ER.Magic.IronWater,金水双元素
Cultiway.ER.Magic.IronWater.Info,同时亲和金与水两类元素
Cultiway.ER.Magic.IronFire,金火双元素
Cultiway.ER.Magic.IronFire.Info,同时亲和金与火两类元素
Cultiway.ER.Magic.IronEarth,金土双元素
Cultiway.ER.Magic.IronEarth.Info,同时亲和金与土两类元素
Cultiway.ER.Magic.WoodWater,木水双元素
Cultiway.ER.Magic.WoodWater.Info,同时亲和木与水两类元素
Cultiway.ER.Magic.WoodFire,木火双元素
Cultiway.ER.Magic.WoodFire.Info,同时亲和木与火两类元素
Cultiway.ER.Magic.WoodEarth,木土双元素
Cultiway.ER.Magic.WoodEarth.Info,同时亲和木与土两类元素
Cultiway.ER.Magic.WaterFire,水火双元素
Cultiway.ER.Magic.WaterFire.Info,同时亲和水与火两类元素
Cultiway.ER.Magic.WaterEarth,水土双元素
Cultiway.ER.Magic.WaterEarth.Info,同时亲和水与土两类元素
Cultiway.ER.Magic.FireEarth,火土双元素
Cultiway.ER.Magic.FireEarth.Info,同时亲和火与土两类元素
Cultiway.ER.Magic.Wind,风元素
Cultiway.ER.Magic.Wind.Info,由木、水与少量混沌扰动形成的风元素亲和
Cultiway.ER.Magic.Ice,冰元素
Cultiway.ER.Magic.Ice.Info,由水与阴复合形成的冰元素亲和
Cultiway.ER.Magic.Lightning,雷元素
Cultiway.ER.Magic.Lightning.Info,由金、阳与混沌复合形成的雷元素亲和
Cultiway.ER.Magic.Poison,毒元素
Cultiway.ER.Magic.Poison.Info,由木、水与阴复合形成的毒元素亲和
Cultiway.ER.Aptitude.Intensity,资质强度
Cultiway.ER.Aptitude.Purity,原型纯度
Cultiway.ER.Aptitude.Affinity,主修契合
Cultiway.ER.Aptitude.Multiplier,灵根资质倍率
Cultiway.ER.Aptitude.MethodMultiplier,当前方式倍率
Cultiway.ER.Aptitude.FinalMultiplier,最终修炼倍率
Cultiway.ER.Aptitude.Undetermined,未定（按中性50%）
