key,cz
Cultiway.SemanticFacet.element,元素
Cultiway.SemanticFacet.form,形态
Cultiway.SemanticFacet.delivery,作用方式
Cultiway.SemanticFacet.motion,运动
Cultiway.SemanticFacet.effect,效果
Cultiway.SemanticFacet.role,用途
Cultiway.SemanticFacet.theme,主题
Cultiway.SemanticFacet.craft,工艺
Cultiway.SemanticFacet.resource,资源
Cultiway.SemanticFacet.material,材性
Cultiway.SemanticFacet.realm,境界
Cultiway.SemanticFacet.path,道路
Cultiway.SemanticFacet.organization,组织
Cultiway.SemanticFacet.trait,特质
Cultiway.Semantic.absorption,吸收
Cultiway.Semantic.alchemy,炼丹
Cultiway.Semantic.amplification,增幅
Cultiway.Semantic.armor_break,破甲
Cultiway.Semantic.array,阵列
Cultiway.Semantic.binding,束缚
Cultiway.Semantic.blade,刃器
Cultiway.Semantic.body,本体
Cultiway.Semantic.brittle,脆性
Cultiway.Semantic.capacity,容纳
Cultiway.Semantic.concealment,隐匿
Cultiway.Semantic.cultivation,修炼
Cultiway.Semantic.cone,扇形
Cultiway.Semantic.counter,反制
Cultiway.Semantic.damage_conversion,伤害转化
Cultiway.Semantic.deployment,部署
Cultiway.Semantic.devouring,吞噬
Cultiway.Semantic.dispel,驱散
Cultiway.Semantic.drain,汲取
Cultiway.Semantic.elemental,元素
Cultiway.Semantic.flexibility,柔韧
Cultiway.Semantic.force,力场
Cultiway.Semantic.guardian,护主
Cultiway.Semantic.hardness,坚硬
Cultiway.Semantic.hit,命中
Cultiway.Semantic.impact,冲击
Cultiway.Semantic.immovable,不动
Cultiway.Semantic.imprisonment,囚禁
Cultiway.Semantic.lightweight,轻质
Cultiway.Semantic.mobility,机动
Cultiway.Semantic.movement,移动
Cultiway.Semantic.multi_hit,多重命中
Cultiway.Semantic.nonretaliation,不反击
Cultiway.Semantic.perception,感知
Cultiway.Semantic.projection,投影
Cultiway.Semantic.purification,净化
Cultiway.Semantic.recovery,恢复
Cultiway.Semantic.refinement,炼制
Cultiway.Semantic.reflection,反射
Cultiway.Semantic.release,释放
Cultiway.Semantic.resonance,共鸣
Cultiway.Semantic.resource,资源
Cultiway.Semantic.revealing,显形
Cultiway.Semantic.rigid_guard,刚性防护
Cultiway.Semantic.sealing,封禁
Cultiway.Semantic.sect,宗门
Cultiway.Semantic.shield,护盾
Cultiway.Semantic.soul,魂魄
Cultiway.Semantic.sound,音律
Cultiway.Semantic.space,空间
Cultiway.Semantic.spirit,器灵
Cultiway.Semantic.spirituality,灵性
Cultiway.Semantic.stability,稳定
Cultiway.Semantic.status,状态
Cultiway.Semantic.storage,储存
Cultiway.Semantic.summon,召唤
Cultiway.Semantic.suppression,镇压
Cultiway.Semantic.transformation,转化
Cultiway.Semantic.vehicle,载具
Cultiway.Semantic.vitality,生机
Cultiway.Semantic.volatility,活跃
Cultiway.Semantic.ward,结界
Cultiway.Semantic.quality,品质
Cultiway.Semantic.quantity,数量
Cultiway.Semantic.source_diversity,来源多样性
Cultiway.Semantic.piercing_flight,飞行穿刺
Cultiway.Semantic.spirit_reservoir,灵力储备
Cultiway.Semantic.field_projection,法域投射
Cultiway.Semantic.sect_guardian,宗门守护
Cultiway.Semantic.artifact_spirit,法器生灵
Cultiway.Semantic.element_root,灵根
Cultiway.Semantic.cultibook,功法
Cultiway.Semantic.jindan,金丹
Cultiway.Semantic.yuanying,元婴
Cultiway.Semantic.meditation_path,静修
Cultiway.Semantic.battle_cultivation_path,战修
Cultiway.Semantic.slaughter_cultivation_path,杀伐修行
Cultiway.Semantic.fortune_cultivation_path,气运修行
Cultiway.Semantic.sword_path,剑道
Cultiway.Semantic.illusion,幻术
Cultiway.Semantic.dragon,龙属
Cultiway.SkillTag.offensive,进攻
Cultiway.SkillTag.defensive,防御
Cultiway.SkillTag.support,辅助
Cultiway.SkillTag.production,生产
Cultiway.SkillTag.motion_falling,坠落
