key,cz
Cultiway.CoreFormationAtom.iron.Name,金行主相
Cultiway.CoreFormationAtom.iron.Description,金气居于组成主位，偏向锋锐、坚固与破敌。
Cultiway.CoreFormationAtom.wood.Name,木行主相
Cultiway.CoreFormationAtom.wood.Description,木气居于组成主位，偏向生机、延续与恢复。
Cultiway.CoreFormationAtom.water.Name,水行主相
Cultiway.CoreFormationAtom.water.Description,水气居于组成主位，偏向流转、寒润与变化。
Cultiway.CoreFormationAtom.fire.Name,火行主相
Cultiway.CoreFormationAtom.fire.Description,火气居于组成主位，偏向炽烈、爆发与炼化。
Cultiway.CoreFormationAtom.earth.Name,土行主相
Cultiway.CoreFormationAtom.earth.Description,土气居于组成主位，偏向承载、稳定与镇守。
Cultiway.CoreFormationAtom.yin.Name,阴行主相
Cultiway.CoreFormationAtom.yin.Description,阴气居于组成主位，偏向幽隐、寒寂与神魂。
Cultiway.CoreFormationAtom.yang.Name,阳行主相
Cultiway.CoreFormationAtom.yang.Description,阳气居于组成主位，偏向光明、刚健与生发。
Cultiway.CoreFormationAtom.chaos.Name,混沌主相
Cultiway.CoreFormationAtom.chaos.Description,混沌之气居于组成主位，偏向异变、归一与转化。
Cultiway.CoreFormationAtom.balanced.Name,混元结构
Cultiway.CoreFormationAtom.balanced.Description,三花与诸气相互制衡，使内核兼顾稳定与共鸣。
Cultiway.CoreFormationAtom.condensed.Name,凝元结构
Cultiway.CoreFormationAtom.condensed.Description,以气为枢压缩灵机，增强储量与力量凝聚。
Cultiway.CoreFormationAtom.vital.Name,精元结构
Cultiway.CoreFormationAtom.vital.Description,以精为本锤炼真形，增强体魄、生命与防护。
Cultiway.CoreFormationAtom.spiritual.Name,灵台结构
Cultiway.CoreFormationAtom.spiritual.Description,以神为本澄明灵台，增强感知、灵力与精准。
Cultiway.CoreFormationAtom.sword.Name,剑道烙印
Cultiway.CoreFormationAtom.sword.Description,主修与已学术法留下剑道烙印，使力量更偏向锋锐攻伐。
Cultiway.CoreFormationAtom.body.Name,炼体烙印
Cultiway.CoreFormationAtom.body.Description,主修与自身根基留下炼体烙印，使力量更偏向真形与护体。
Cultiway.CoreFormationAtom.illusion.Name,幻道烙印
Cultiway.CoreFormationAtom.illusion.Description,主修与已学术法留下幻道烙印，使力量更偏向虚实与隐匿。
Cultiway.CoreFormationAtom.reservoir.Name,灵渊烙印
Cultiway.CoreFormationAtom.reservoir.Description,蓄灵之法凝成内在灵渊，使力量更偏向容纳与储备。
Cultiway.CoreFormationAtom.dragon.Name,龙脉烙印
Cultiway.CoreFormationAtom.dragon.Description,龙族血脉或固有龙性显化，使内核带有强盛龙威。
Cultiway.CoreFormationAtom.infant.Name,灵婴显化
Cultiway.CoreFormationAtom.infant.Description,金丹蜕变为稳定灵婴，承载原有道基继续成长。
Cultiway.CoreFormationAtom.sword_embryo.Name,剑胎显化
Cultiway.CoreFormationAtom.sword_embryo.Description,剑道烙印在结婴时凝成剑胎，强化纯粹攻伐。
Cultiway.CoreFormationAtom.dragon_aspect.Name,龙相显化
Cultiway.CoreFormationAtom.dragon_aspect.Description,龙性在结婴时凝成龙相，强化体魄、威势与蜕变。
Cultiway.CoreFormationAtom.spirit_platform.Name,灵台显化
Cultiway.CoreFormationAtom.spirit_platform.Description,强盛神识在结婴时化作灵台，强化元神与灵力运转。
Cultiway.CoreFormationAtom.primal_body.Name,真身显化
Cultiway.CoreFormationAtom.primal_body.Description,雄厚精元在结婴时凝成真身，强化生命与护体。
Cultiway.CoreFormationAtom.five_phase.Name,五相蜕变
Cultiway.CoreFormationAtom.five_phase.Description,均衡五气在结婴时彼此流转，形成完整五相循环。
Cultiway.CoreFormationAtom.pure_yang.Name,纯阳蜕变
Cultiway.CoreFormationAtom.pure_yang.Description,阳气达到显化条件后蜕变为纯阳元神。
Cultiway.CoreFormationAtom.mysterious_yin.Name,玄阴蜕变
Cultiway.CoreFormationAtom.mysterious_yin.Description,阴气达到显化条件后蜕变为玄阴元神。
Cultiway.CoreFormationAtom.chaos_rebirth.Name,混沌蜕变
Cultiway.CoreFormationAtom.chaos_rebirth.Description,混沌之气达到显化条件后引发归墟再生。
Cultiway.CoreFormation.Page.Jindan.Title,金丹：{0}
Cultiway.CoreFormation.Page.Jindan.Strength,金丹强度：{0}
Cultiway.CoreFormation.Page.Jindan.Stage,金丹修为：{0}转金丹
Cultiway.CoreFormation.Page.Jindan.NextEvolution,下一次演化：{0}转
Cultiway.CoreFormation.Page.Yuanying.Title,元婴：{0}
Cultiway.CoreFormation.Page.Yuanying.Strength,元婴强度：{0}
Cultiway.CoreFormation.Page.Yuanying.Lineage,金丹谱系：{0}
Cultiway.CoreFormation.Page.Atoms,构成：{0}
