key,cz
achievement_group_cultiway_cultivation,修仙
Cultiway.Achievement.RootAwakened,灵根初醒
Cultiway.Achievement.RootAwakened_description,让一名拥有灵根的生灵踏入仙道。
Cultiway.Achievement.FoundationEstablished,一朝筑基
Cultiway.Achievement.FoundationEstablished_description,让一名修士成功突破至筑基境。
Cultiway.Achievement.GoldenCoreFormed,一粒金丹吞入腹
Cultiway.Achievement.GoldenCoreFormed_description,让一名修士凝成有效金丹。
Cultiway.Achievement.NinefoldCore,九转功成
Cultiway.Achievement.NinefoldCore_description,让一名修士将金丹淬炼至九转。
Cultiway.Achievement.NascentSoulFormed,紫府婴成
Cultiway.Achievement.NascentSoulFormed_description,让一名修士凝成有效元婴。
Cultiway.Achievement.HeavenGradeCore,金丹天成
Cultiway.Achievement.HeavenGradeCore_description,让一名修士凝成天阶金丹。
Cultiway.Achievement.FlawlessLineage,一脉天成
Cultiway.Achievement.FlawlessLineage_description,以地阶以上的真气、仙基、金丹与元婴贯通一脉，并以九转金丹结婴。
Cultiway.Achievement.ChaosNascentSoul,混沌初开
Cultiway.Achievement.ChaosNascentSoul_description,让一名混沌灵根修士凝成元婴。
Cultiway.Achievement.RealmDefier,逆行伐仙
Cultiway.Achievement.RealmDefier_description,让一名仙道修士亲手击杀高自己至少一个大境界的仙道修士。
Cultiway.Achievement.FirstElixir,丹火初燃
Cultiway.Achievement.FirstElixir_description,由修士完成一炉丹药。
Cultiway.Achievement.EarthGradeElixir,妙手丹成
Cultiway.Achievement.EarthGradeElixir_description,由修士炼成至少地阶的丹药。
Cultiway.Achievement.FirstArtifact,百炼成器
Cultiway.Achievement.FirstArtifact_description,由修士完成一件法宝。
Cultiway.Achievement.EarthGradeArtifact,天工开物
Cultiway.Achievement.EarthGradeArtifact_description,由修士炼成至少地阶的法宝。
Cultiway.Achievement.ArtifactSpiritAwakened,器有真灵
Cultiway.Achievement.ArtifactSpiritAwakened_description,使一件法宝首次觉醒器灵。
Cultiway.Achievement.SectFounded,开宗立派
Cultiway.Achievement.SectFounded_description,让一名修士成功建立宗门。
Cultiway.Achievement.FiveDisciples,桃李满门
Cultiway.Achievement.FiveDisciples_description,让同一位在世师父同时拥有至少五名在世弟子。
Cultiway.Achievement.ApprenticeGraduated,薪火相传
Cultiway.Achievement.ApprenticeGraduated_description,让一名弟子满足师门要求并成功出师。
Cultiway.Achievement.GreatSect,名门大宗
Cultiway.Achievement.GreatSect_description,让一个拥有至少二十名在世门人的宗门建成大殿、藏经阁与藏宝阁。
