key,cz
book_type_Cultiway.Cultibook,功法
book_type_info_Cultiway.Cultibook,玄之又玄，众妙之门
book_type_Cultiway.Elixirbook,丹方
book_type_info_Cultiway.Elixirbook,百草为引，万火为媒
Cultiway.Book.ReadAction.LearnCultibook,学会功法
Cultiway.Book.ReadAction.FullyMaster,当完全掌握时:
Cultiway.Standard,标准闭关
Cultiway.Standard.Info,最基础的修炼方式，通过静坐闭关吸收天地灵气进行修炼
Cultiway.WaterMeditation,水中修炼
Cultiway.WaterMeditation.Info,寻觅水域吐纳，借水势周流灵息
Cultiway.GrassWoodNourishing,草木养息
Cultiway.GrassWoodNourishing.Info,寻觅草木繁盛之地，借生机温养灵息
Cultiway.MountainStabilization,山岳镇元
Cultiway.MountainStabilization.Info,登临山岳高处，借厚重地势稳固灵气
Cultiway.EarthFireTempering,地火淬体
Cultiway.EarthFireTempering.Info,临近熔岩吐纳地火，并承受烈焰淬炼
Cultiway.ColdMeditation,寒域凝神
Cultiway.ColdMeditation.Info,在冰雪寒域中凝练神意，并承受寒气侵体
Cultiway.DesolateDevouring,荒煞吞元
Cultiway.DesolateDevouring.Info,吞纳荒芜之地的浊气炼化灵息，同时积留浊气
Cultiway.SolarEssence,日精炼形
Cultiway.SolarEssence.Info,露天吐纳日精，在太阳时代修炼最为契合
Cultiway.LunarEssence,月华养神
Cultiway.LunarEssence.Info,露天吐纳月华，在月亮时代修炼最为契合
Cultiway.ThunderTempering,雷霆淬体
Cultiway.ThunderTempering.Info,照常吐纳灵气，并依雷灵根资质主动引来天雷淬体
Cultiway.BattleCultivate,战斗修炼
Cultiway.BattleCultivate.Info,在战斗中修炼，通过战斗的激烈程度获得修为提升
Cultiway.KillAbsorb,杀戮吸收
Cultiway.KillAbsorb.Info,通过击杀生灵吸收其修为的邪道修炼方式，效率高但会积累杀业
Cultiway.KingdomFortune,国运修炼
Cultiway.KingdomFortune.Info,作为国王或城主，通过吸收国家气运进行修炼的帝道功法
