key,cz
bamboo,竹林
bamboo_description,翠竹成林，清幽风雅之地
bamboo_seeds,竹林种子
bamboo_seeds_description,降下竹林种子，将地形化为竹海
candle,烛火
candle_description,烛光摇曳，映照幽冥微光
candle_seeds,烛火种子
candle_seeds_description,降下烛火种子，将地形化为烛火之地
cemetery,墓园
cemetery_description,荒冢累累，死寂无声之地
cemetery_seeds,墓园种子
cemetery_seeds_description,降下墓园种子，将地形化为荒坟墓地
coral,珊瑚
coral_description,珊瑚丛生，斑斓如海底秘境
coral_seeds,珊瑚种子
coral_seeds_description,降下珊瑚种子，将地形化为珊瑚丛
dark,黑暗
dark_description,浓墨般的黑暗笼罩此地
dark_seeds,黑暗种子
dark_seeds_description,降下黑暗种子，将地形化为幽暗之地
fern,蕨类
fern_description,巨蕨舒展，弥漫远古气息
fern_seeds,蕨类孢子
fern_seeds_description,降下蕨类孢子，将地形化为巨蕨丛林
flesh_blood,血肉
flesh_blood_description,血肉滋生，扭曲蠕动之所
flesh_blood_seeds,血肉种子
flesh_blood_seeds_description,降下血肉种子，将地形化为血肉之地
knowledge,知识
knowledge_description,智慧之光照耀的求索之地
knowledge_seeds,知识种子
knowledge_seeds_description,降下知识种子，将地形化为智慧之地
oak,橡木
oak_description,橡木参天，根系深扎沃土
oak_seeds,橡木种子
oak_seeds_description,降下橡木种子，将地形化为橡木林
rice,稻野
rice_description,稻浪翻涌，金黄遍野的丰饶之地
rice_seeds,稻种
rice_seeds_description,降下稻种，将地形化为稻浪田野
titans,巨灵
titans_description,巨灵盘踞，山岳为之变色
titans_seeds,巨灵种子
titans_seeds_description,降下巨灵种子，将地形化为巨灵荒原
